"pair","score"
"aldC_2~~~aldC_1~~~aldC_3glpE_1~~~glpE_2~~~gloC~~~glpE_3~~~gloC_2~~~gloB_2~~~gloB_1~~~glpE_4~~~gloC_1~~~moeZ_3",2.10656e-15
"aldC_2~~~aldC_1~~~aldC_3graS_2~~~graS_1~~~graS_4~~~graS_3~~~graS",7.84219e-13
"aldC_2~~~aldC_1~~~aldC_3group_1004",3.83961e-08
"aldC_2~~~aldC_1~~~aldC_3group_1033",5.68236e-16
"aldC_2~~~aldC_1~~~aldC_3group_1106",2.84172e-18
"aldC_2~~~aldC_1~~~aldC_3group_1130",1.4585e-08
"aldC_2~~~aldC_1~~~aldC_3group_1231",1.24492e-08
"aldC_2~~~aldC_1~~~aldC_3group_124",4.09147e-10
"aldC_2~~~aldC_1~~~aldC_3group_1244",2.84686e-17
"aldC_2~~~aldC_1~~~aldC_3group_1383",1.22893e-10
"aldC_2~~~aldC_1~~~aldC_3group_1387",3.83961e-08
"aldC_2~~~aldC_1~~~aldC_3group_1409",7.56895e-08
"aldC_2~~~aldC_1~~~aldC_3group_1461",5.0615e-12
"aldC_2~~~aldC_1~~~aldC_3group_158",1.89831e-10
"aldC_2~~~aldC_1~~~aldC_3group_1582",3.73096e-12
"aldC_2~~~aldC_1~~~aldC_3group_163",4.08436e-10
"aldC_2~~~aldC_1~~~aldC_3group_1636",1.41469e-09
"aldC_2~~~aldC_1~~~aldC_3group_1670",4.13378e-13
"aldC_2~~~aldC_1~~~aldC_3group_1703",3.82289e-08
"aldC_2~~~aldC_1~~~aldC_3group_1711",8.35567e-09
"aldC_2~~~aldC_1~~~aldC_3group_1764",2.22109e-08
"aldC_2~~~aldC_1~~~aldC_3group_1769",3.02694e-12
"aldC_2~~~aldC_1~~~aldC_3group_188",7.60244e-23
"aldC_2~~~aldC_1~~~aldC_3group_1882",6.24043e-10
"aldC_2~~~aldC_1~~~aldC_3group_1940",1.21462e-09
"aldC_2~~~aldC_1~~~aldC_3group_1978",1.45545e-16
"aldC_2~~~aldC_1~~~aldC_3group_1984",8.73498e-19
"aldC_2~~~aldC_1~~~aldC_3group_1996",6.24043e-10
"aldC_2~~~aldC_1~~~aldC_3group_1998",6.19025e-21
"aldC_2~~~aldC_1~~~aldC_3group_2067",3.19762e-09
"aldC_2~~~aldC_1~~~aldC_3group_2089",4.52275e-15
"aldC_2~~~aldC_1~~~aldC_3group_2120",3.82355e-09
"aldC_2~~~aldC_1~~~aldC_3group_218",5.82678e-08
"aldC_2~~~aldC_1~~~aldC_3group_2205",6.24043e-10
"aldC_2~~~aldC_1~~~aldC_3group_2264",5.35217e-11
"aldC_2~~~aldC_1~~~aldC_3group_2269",2.16805e-14
"aldC_2~~~aldC_1~~~aldC_3group_2276",3.00818e-11
"aldC_2~~~aldC_1~~~aldC_3group_2296",6.67138e-08
"aldC_2~~~aldC_1~~~aldC_3group_2327",4.85368e-10
"aldC_2~~~aldC_1~~~aldC_3group_2342",9.97341e-12
"aldC_2~~~aldC_1~~~aldC_3group_2396",6.38127e-08
"aldC_2~~~aldC_1~~~aldC_3group_240",8.71198e-10
"aldC_2~~~aldC_1~~~aldC_3group_2429",6.29494e-16
"aldC_2~~~aldC_1~~~aldC_3group_2432",1.85408e-09
"aldC_2~~~aldC_1~~~aldC_3group_2436",5.06295e-08
"aldC_2~~~aldC_1~~~aldC_3group_2477",1.65139e-08
"aldC_2~~~aldC_1~~~aldC_3group_2501",3.93005e-08
"aldC_2~~~aldC_1~~~aldC_3group_2519",8.65056e-20
"aldC_2~~~aldC_1~~~aldC_3group_2541",7.84219e-13
"aldC_2~~~aldC_1~~~aldC_3group_2550",6.09946e-10
